u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
0.0,42.0,87.0,39.0,,,44.0,83.0,89.0,83.0,,,69.0,122.0
0.5,42.5,87.0,40.0,,,45.0,84.0,89.0,84.0,,,68.5,120.5
0.5,43.5,87.0,41.0,,,45.0,85.0,89.0,85.0,,,68.5,120.5
1.0,45.0,87.5,42.0,,,45.0,86.0,89.0,86.0,,,68.5,120.5
1.0,45.5,88.0,43.0,,,45.0,86.0,90.0,87.0,,,68.5,120.5
1.5,46.5,87.5,44.5,,,45.0,87.0,90.0,88.0,,,68.5,120.5
1.5,47.5,88.0,45.0,,,46.0,88.0,90.5,89.0,,,68.5,120.5
2.0,48.5,88.0,46.0,0.0,92.5,47.0,89.0,91.0,90.0,,,68.5,120.5
2.0,50.0,88.5,47.0,0.5,93.0,47.0,90.0,91.0,90.0,,,68.5,120.5
3.0,50.0,89.0,48.0,0.5,94.0,47.0,90.0,91.5,91.0,,,68.5,120.5
3.5,51.0,89.5,48.5,1.0,95.0,48.0,91.0,92.0,92.0,,,68.5,120.5
4.0,52.0,89.0,49.0,1.0,96.0,48.0,92.0,92.5,93.0,,,68.5,120.5
5.0,52.0,90.0,50.0,1.0,96.5,49.0,93.0,93.0,93.5,,,69.0,120.0
6.0,53.0,90.0,51.0,1.5,97.0,49.0,94.0,93.0,94.0,,,69.0,120.0
6.0,54.0,91.0,51.0,2.0,98.0,49.0,94.0,94.0,95.0,,,69.0,120.0
7.0,55.0,91.5,52.5,2.0,99.0,50.0,94.0,95.0,96.0,,,69.0,120.0
8.0,55.0,92.0,53.0,3.0,99.5,51.0,95.0,95.0,96.0,,,69.0,120.0
9.0,55.5,93.0,54.0,4.0,100.0,51.0,96.0,96.0,97.0,,,69.0,120.0
10.0,56.0,93.0,54.0,4.0,101.0,52.0,96.0,96.5,97.5,,,69.0,120.0
11.0,57.0,93.5,54.5,5.0,101.0,52.0,96.0,97.0,98.0,,,69.0,120.0
12.0,57.0,94.0,55.0,7.0,101.5,53.0,97.0,97.0,99.0,,,69.0,120.0
12.0,58.0,94.5,56.0,8.0,102.0,54.0,98.0,99.0,99.0,,,69.0,120.0
14.0,58.0,95.0,56.5,8.0,102.0,55.0,98.0,99.0,100.0,,,68.0,118.5
14.0,58.5,96.0,57.0,9.0,103.0,55.0,99.5,100.0,101.0,,,68.0,118.5
15.0,59.0,97.0,58.0,10.0,103.5,56.0,99.5,101.0,101.0,,,68.0,118.5
16.0,59.0,98.0,58.0,11.0,104.0,57.0,100.0,101.0,102.0,,,68.0,118.5
17.0,60.0,98.5,59.0,12.0,104.0,57.5,100.0,102.5,102.0,,,68.0,118.5
18.0,60.0,99.0,59.0,12.0,105.0,58.0,101.0,103.0,103.0,,,68.0,118.5
19.0,60.0,100.0,60.0,13.0,105.0,59.0,101.0,104.0,104.0,,,68.0,118.5
19.5,61.0,100.0,60.0,15.0,105.0,60.0,101.0,104.5,104.0,,,68.0,118.5
21.0,61.0,101.0,61.0,15.0,105.5,60.0,101.0,105.0,104.0,,,68.0,118.5
21.5,61.0,102.0,61.0,16.0,105.0,60.0,101.0,106.0,104.5,,,68.0,118.5
22.0,61.0,103.0,61.0,17.0,106.0,61.0,102.0,107.0,105.0,,,68.0,118.5
23.0,62.0,103.0,61.5,18.0,105.5,62.0,101.5,108.0,105.5,,,68.0,118.5
24.0,62.0,104.0,62.0,19.0,106.0,63.0,102.0,108.0,106.0,,,68.0,118.5
25.0,62.0,104.0,62.0,20.0,106.0,63.0,102.0,109.0,106.0,,,68.0,118.5
26.0,62.0,105.5,62.5,20.5,106.0,64.0,102.0,110.5,107.0,,,68.0,118.5
26.0,62.0,106.5,62.5,22.0,106.0,65.0,103.0,112.0,107.0,,,68.0,118.5
27.5,62.5,107.0,63.0,22.5,106.5,65.5,103.0,112.0,107.0,,,68.0,118.5
28.5,62.0,108.0,63.0,24.0,106.0,66.0,103.0,113.0,107.0,,,68.0,118.5
29.0,62.0,109.0,63.0,24.5,106.5,67.0,103.0,114.0,108.0,,,68.0,118.5
29.5,62.5,110.0,64.0,26.0,107.0,68.0,103.0,115.0,108.0,,,68.0,118.5
31.0,62.0,111.0,64.0,26.0,107.0,69.0,103.0,116.0,108.0,,,68.0,118.5
31.5,62.5,111.5,64.5,27.0,107.0,70.0,104.0,117.0,109.0,,,68.0,118.5
32.5,62.5,113.0,64.0,29.0,106.5,71.0,104.0,118.0,109.0,,,68.0,118.5
33.0,62.0,114.0,65.0,29.0,107.0,72.0,104.0,119.0,109.0,,,68.0,118.5
34.0,62.0,115.0,65.0,30.0,106.0,72.0,103.0,120.0,109.0,,,68.0,118.5
35.0,62.0,115.0,65.0,30.5,106.5,74.0,104.0,121.0,109.0,,,68.0,118.5
36.0,62.0,117.0,65.0,32.0,106.0,74.5,104.0,122.5,109.0,,,68.0,118.5
37.0,62.0,117.0,65.0,33.0,106.0,75.0,104.0,124.0,109.0,,,68.0,118.5
37.0,62.0,118.0,65.0,34.0,106.0,76.0,104.0,124.5,109.0,,,68.0,118.5
38.0,62.0,119.0,65.0,35.0,106.0,76.0,103.0,125.0,109.0,,,68.0,118.5
39.0,62.0,120.0,65.0,36.0,105.5,77.0,104.0,125.0,109.0,,,68.0,118.5
40.0,61.5,121.5,65.5,36.5,105.0,79.0,104.0,126.0,109.0,,,68.0,118.5
41.0,61.0,122.5,65.0,37.0,105.0,79.0,104.0,93.5,89.5,,,68.0,118.5
41.5,60.5,124.0,65.0,38.0,105.0,80.0,103.0,60.0,69.5,,,68.0,118.5
43.0,61.0,124.5,65.0,39.0,104.5,82.0,103.0,59.0,69.0,,,68.0,118.5
